Input,Threads,ComputationTime,TotalTime,Cost,MaxOccupancy,Validation
easy_4096,1,4.803373901,6.23,122004,2,PASS
easy_4096,2,5.153284641,6.61,122042,2,PASS
easy_4096,4,9.018139759,10.3,122032,2,PASS
easy_4096,8,20.151743937,21.53,122006,2,PASS
easy_4096,16,26.939403738,28.81,122006,2,PASS
easy_4096,32,37.094193149,38.24,122016,2,PASS
easy_4096,64,6.557528196,7.99,121998,2,PASS
easy_4096,128,8.900193152,10.2,122010,2,PASS
medium_4096,1,64.43214205,66.26,602335,3,PASS
medium_4096,2,51.066294237,52.69,602377,3,PASS
medium_4096,4,49.713182354,51.1,601967,2,PASS
medium_4096,8,73.09703402,74.73,602391,3,PASS
medium_4096,16,100.673743923,101.98,601599,2,PASS
medium_4096,32,129.809992224,131.28,602233,3,PASS
medium_4096,64,32.738463548,34.21,601603,2,PASS
medium_4096,128,38.422372298,40.33,601723,2,PASS
hard_4096,1,89.82374529,91.17,1034722,3,PASS
hard_4096,2,75.128485841,76.82,1034682,3,PASS
hard_4096,4,81.664954637,83.06,1034862,3,PASS
hard_4096,8,130.913479999,132.38,1033478,2,PASS
hard_4096,16,186.206278811,187.35,1036590,3,PASS
hard_4096,32,250.238023076,251.4,1036932,3,PASS
hard_4096,64,53.816449153,55.41,1035650,3,PASS
hard_4096,128,66.216249713,67.34,1034002,3,PASS
extreme_4096,16,8641.963338758,8641.963338758,24506200,6,PASS
extreme_4096,32,970.177706347,970.177706347,24536668,6,PASS
extreme_4096,64,1524.355937184,1524.355937184,24507210,6,PASS
extreme_4096,128,1524.355937184,1524.355937184,24507210,6,PASS
impossible_4096,16,10785.67918919,10785.67918919,255958211,11,PASS
impossible_4096,32,14623.63581538,14623.63581538,256044905,10,PASS
impossible_4096,64,3256.299550498,3256.299550498,256237181,11,PASS
impossible_4096,128,3991.555245542,3991.555245542,256092731,11,PASS
