Input,Threads,ComputationTime,TotalTime,Cost,MaxOccupancy,Validation
easy_4096,1,4.8033739010,6.23,122004,2,PASS
easy_4096,2,5.1532846410,6.61,122042,2,PASS
easy_4096,4,9.0181397590,10.30,122032,2,PASS
easy_4096,8,20.1517439370,21.53,122006,2,PASS
easy_4096,16,26.9394037380,28.81,122006,2,PASS
easy_4096,32,37.0941931490,38.24,122016,2,PASS
easy_4096,64,6.5575281960,7.99,121998,2,PASS
easy_4096,128,8.9001931520,10.20,122010,2,PASS
medium_4096,1,64.4321420500,66.26,602335,3,PASS
medium_4096,2,51.0662942370,52.69,602377,3,PASS
medium_4096,4,49.7131823540,51.10,601967,2,PASS
medium_4096,8,73.0970340200,74.73,602391,3,PASS
medium_4096,16,100.6737439230,101.98,601599,2,PASS
medium_4096,32,129.8099922240,131.28,602233,3,PASS
medium_4096,64,32.7384635480,34.21,601603,2,PASS
medium_4096,128,38.4223722980,40.33,601723,2,PASS
hard_4096,1,89.8237452900,91.17,1034722,3,PASS
hard_4096,2,75.1284858410,76.82,1034682,3,PASS
hard_4096,4,81.6649546370,83.06,1034862,3,PASS
hard_4096,8,130.9134799990,132.38,1033478,2,PASS
hard_4096,16,186.2062788110,187.35,1036590,3,PASS
hard_4096,32,250.2380230760,251.40,1036932,3,PASS
hard_4096,64,53.8164491530,55.41,1035650,3,PASS
hard_4096,128,66.2162497130,67.34,1034002,3,PASS
